,Practice_Code,BNF_Code,BNF_Description,Items,Quantity,ADQ_Usage
1889,M85117,0407020ADBFADAH,Oxylan_Tab 40mg M/R,1,56,37.33333
1890,M85081,0407020ADBKAEAI,Reltebon_Tab 80mg M/R,2,60,159.99999
1891,G82693,0407020ADBNACAK,Zomestine_Tab 5mg M/R,1,56,4.66666
1892,M83031,0407020ADBQABAG,Onexila XL_Tab 20mg,1,28,9.33333
1893,P81683,0407020B0AAABAB,Buprenorphine_Tab Subling 200mcg S/F,2,56,37.33333
1894,P92017,0407020B0AAAJAJ,Buprenorphine_Patch 20mcg/hr (7day),4,4,48.0
1895,C84035,0407020B0BIAAAE,Bupeaze_Transdermal Patch 35mcg/hr(96hr),2,7,42.0
1896,A83016,0407020B0BJACAG,Prenotrix_T/Derm Patch 70mcg/hr,1,8,24.0
1897,P92016,0407020G0AAAIAI,Dihydrocodeine Tart_Tab 40mg,1,168,55.99999
1898,F84097,0407020G0AAAPAP,Dihydrocodeine Tart_Liq Spec 10mg/5ml,1,300,5.0
1899,Y00293,0407020G0BBAAAD,Dhc Continus_Tab 60mg,1,56,28.0
1900,Y01051,0407020K0AAEGEG,Diamorph HCl_Inj 10mg Vl (Dry),1,1,0.33333
1901,C84024,0407020L0BBAAAB,Meptid_Tab 200mg,1,44,14.66666
1902,M87011,0407020Q0AAABAB,Morph Sulf_Inj 10mg/1ml Amp,2,30,19.99998
1903,P92019,0407020Q0AAEFEF,Morph Sulf_Cap 10mg M/R,1,30,3.0
1904,P92016,0407020Q0BCABA6,Oramorph_Oral Soln Conc 20mg/ml S/F,3,120,72.0
1905,P92021,0407020Q0BHADCE,Sevredol_Tab 20mg,26,4,20.8
1906,P92015,0407020Q0BHAFDR,Sevredol_Tab 50mg,4,28,56.0
1907,C83064,0407042Q0BBABAC,Sanomigran_Tab 1.5mg,1,28,280.0
1908,J81011,040801020AAABAB,Valproic Acid_Cap E/C 300mg,1,56,14.0
1909,P92016,040801050AAACAC,Topiramate_Tab 200mg,3,112,168.0
1910,J81013,040801050AACCCC,Topiramate_Oral Soln 100mg/5ml,1,400,100.0
1911,P92008,040801050BBAGAW,Topamax_Sprinkle Cap 50mg,1,60,7.5
1912,L81124,0408010A0AAANAN,Levetiracetam_I/V Inf 100mg/ml 5ml Amp,2,10,1.33332
1913,L81042,0408010A0BDABAL,Desitrend_Gran Sach 500mg,1,120,39.99999
1914,P92014,0408010AEAAADAD,Pregabalin_Cap 100mg,8,56,149.3333
1915,P92016,0408010AEBBACAC,Lyrica_Cap 75mg,2,112,56.0
1916,P92652,0408010AEBCABAA,Rewisca_Cap 25mg,1,112,9.33333
1917,P86006,0408010AEBCAHAG,Rewisca_Cap 300mg,1,112,112.0
1918,E82021,0408010AEBDABAB,Lecaent_Cap 50mg,1,56,9.33333
1919,L81019,0408010AEBFADAD,Axalid_Cap 100mg,1,56,18.66666
1920,P92016,0408010C0AAABAB,Carbamazepine_Tab 100mg,1,168,21.0
1921,P92024,0408010C0BBAEAG,Tegretol Prolonged Release_Tab 200mg M/R,1,112,28.0
1922,G82052,0408010F0AABEBE,Clonazepam_Liq Spec 500mcg/5ml,3,500,37.5
1923,M83050,0408010F0AABZBZ,Clonazepam_Liq Spec 50mcg/5ml,1,200,0.5
1924,P92605,0408010H0AAAQAQ,Lamotrigine_Tab Disper 25mg S/F,1,112,14.0
1925,P92017,0408010H0BBAFAW,Lamictal_Tab Disper 100mg,1,56,28.0
1926,M92607,0408010N0AACUCU,Phenobarb_Liq Spec 10mg/5ml,1,100,2.22222
1927,C83022,0408010P0AABIBI,Phenobarb Sod_Liq Spec 150mg/5ml,1,60,19.99999
1928,P92021,0408010Q0AAADAD,Phenytoin_Sod Cap 25mg,2,28,4.66666
1929,A88023,0408010W0AAA7A7,Sod Valpr_Liq Spec 500mg/5ml,2,420,69.99999
1930,P92019,0408010W0AAACAC,Sod Valpr_Tab E/C 200mg,1,56,9.33333
1931,M82019,0408010X0BBABAF,Sabril_Pdr Sach 500mg S/F,1,150,37.5
1932,Y02322,0409010H0AAAHAH,Ropinirole HCl_Tab 500mcg,1,84,6.99999
1933,P92642,0409010H0AAALAL,Ropinirole HCl_Tab 4mg M/R,1,28,18.66666
1934,L81079,0409010H0BGAAAK,Raponer XL_Tab 2mg,1,56,18.66666
1935,P92026,0409010N0BBAEAE,Sinemet CR_Tab 250mg,1,30,15.0
1936,P92019,0409010W0AAACAC,Pramipexole_Tab 88mcg,1,28,98.56
1937,P92016,0409010W0AAADAD,Pramipexole_Tab 350mcg,1,112,15.68
1938,P92621,0409010W0AAAIAI,Pramipexole_Tab 3.15mg M/R,1,30,37.8
1939,N85025,0409010W0BDAAAC,Oprymea_Tab 0.088mg,1,120,422.4
1940,L85007,0409010W0BDAIAH,Oprymea_Tab 2.1mg M/R,1,30,25.2
1941,C84012,0409010W0BDAKAI,Oprymea_Tab 3.15mg M/R,1,56,70.56
1942,C84013,0409010W0BEABAF,Pipexus_Tab 0.52mg M/R,1,28,5.824
1943,L81072,0409010X0BCADAB,Sastravi_Tab 100mg/25mg/200mg,1,84,21.0
1944,K84050,0409010Y0AAAAAA,Rasagiline Mesil_Tab 1mg,2,56,112.0
1945,Y02322,0409030R0AAADAD,Riluzole_Oral Susp 25mg/5ml S/F,1,600,30.0
1946,Y01962,0410030A0AAAMAM,Buprenorphine_Oral Lyophilisate 8mg S/F,1,14,186.66666
1947,D81014,0411000E0BKABAG,Almuriva_Transdermal Patch 9.5mg/24hrs,1,30,30.0
1948,P92026,0411000F0AAAGAG,Galantamine_Cap 24mg M/R,1,28,42.0
1949,P82016,0411000F0BEACAG,Acumor XL_Cap 24mg,1,28,42.0
1950,L81020,0411000F0BFABAF,Gatalin XL_Cap 16mg,1,56,56.0
1951,G84021,0411000F0BKABAF,Gazylan XL_Cap 16mg,1,56,56.0
1952,P92016,0501012G0AAAPAP,Fluclox Sod_Oral Soln 125mg/5ml S/F,1,200,5.0
1953,A82032,0501013B0BCAGAI,Amoxil_Pdr For Paed Susp 125mg/1.25ml,1,200,26.66666
1954,J81049,0501021A0AAABAB,Cefaclor_Oral Susp 125mg/5ml,1,100,3.33333
1955,F82033,0501021A0AAACAC,Cefaclor_Oral Susp 250mg/5ml,1,100,6.66666
1956,J81621,0501021A0AAAKAK,Cefaclor_Oral Susp 250mg/5ml S/F,1,200,13.33333
1957,F81100,0501021A0BBADAE,Distaclor_Cap 500mg,1,21,14.0
1958,B85622,0501021L0AAAAAA,Cefalexin_Cap 250mg,1,12,3.0
1959,E81021,0501090H0AAACAC,Ethambutol HCl_Tab 400mg,1,56,18.66666
1960,F84018,0501100H0AAAFAF,Dapsone_Tab 50mg,1,7,7.0
1961,P81125,0501120L0BBAAAA,Ciproxin_Tab 250mg,1,28,9.33333
1962,L81073,0501130H0BBAAAA,Hiprex_Tab 1g,1,120,60.0
1963,P92026,0501130R0AAADAD,Nitrofurantoin_Tab 50mg,13,12,39.0
1964,P92016,0501130R0AAAGAG,Nitrofurantoin_Cap 100mg M/R,3,14,21.0
1965,P92023,0502010B0AAABAB,Fluconazole_Cap 150mg,1,1,0.75
1966,P92015,0503021C0AAADAD,Aciclovir_Tab 800mg,2,35,18.66666
1967,G82203,0503021C0BBAEAE,Zovirax_Tab Disper 800mg,1,35,9.33333
1968,P92023,0601021M0AAARAR,Gliclazide_Tab 40mg,4,56,56.0
1969,P92007,0601021M0AAASAS,Gliclazide_Oral Susp 80mg/5ml,2,280,56.0
1970,D81602,0601021M0AAATAT,Gliclazide_Tab 60mg M/R,1,56,21.0
1971,M85083,0601021M0BBABAM,Diamicron MR_Tab 30mg,1,56,10.5
1972,B83045,0601022B0AAARAR,Metformin HCl_Oral Soln 500mg/5ml S/F,1,300,19.99999
1973,D81062,0601022B0BKAAAS,Glucient SR_Tab 500mg,1,112,37.33333
1974,G84001,0601022B0BNAAAS,Meijumet_Tab 500mg M/R,1,224,74.66666
1975,P92028,0601023B0AAABAB,Pioglitazone HCl_Tab 30mg,4,28,112.0
1976,P92026,0601023X0BBACAC,Januvia_Tab 25mg,1,28,7.0
1977,L81020,0606020A0AAAHAH,Alendronic Acid_Eff Tab 70mg S/F,1,4,28.0
1978,K84036,0606020R0AAADAD,Risedronate Sod_Tab 35mg,3,8,168.0
1979,P92041,1001010AHBBAAAA,Celebrex_Cap 100mg,1,60,30.0
1980,P92015,1001010AHBBABAB,Celebrex_Cap 200mg,1,56,56.0
1981,P92035,1001010AJAAABAB,Etoricoxib_Tab 90mg,2,56,168.0
1982,P92041,1001010AJBBAAAA,Arcoxia_Tab 60mg,1,28,28.0
1983,P92028,1001010C0AAAFAF,Diclofenac Sod_Tab 100mg M/R,1,28,28.0
1984,D81045,1001010C0AAALAL,Diclofenac Sod_Tab 75mg M/R,1,28,21.0
1985,F82014,1001010C0BBAJAU,Voltarol_Suppos 50mg,1,10,5.0
1986,F83635,1001010C0BQACAF,Dicloflex Ret_Tab 100mg,9,7,63.0
1987,F81036,1001010C0BQAFAL,Dicloflex SR_Tab 75mg (Kent),1,112,84.0
1988,L81106,1001010J0AABABA,Ibuprofen_Cap 200mg M/R,1,224,37.33333
1989,J81634,1001010J0AABNBN,Ibuprofen_Orodisper Tab 200mg S/F,2,36,11.99999
1990,C83002,1001010J0B4AXBH,Nurofen Child_Cold Pain FeverSusp(Sbery),1,100,1.66666
1991,J81620,1001010N0AAABAB,Mefenamic Acid_Oral Susp 50mg/5ml,1,125,1.25
1992,A89001,1001010P0AABCBC,Naproxen_Oral Susp 200mg/5ml,1,100,5.33333
1993,G85623,1103010AGAAAAAA,Levofloxacin_Eye Dps 5mg/ml,1,5,0.1
1994,C81655,1203010U0AAABAB,Doxycycline Hyclate_Tab 20mg,1,56,11.2
1995,P92635,0102000A0BDAAAA,Audmonal_Cap 60mg,1,100,33.33333
1996,L82050,0102000N0BBAAAB,Buscopan_Tab 10mg,3,112,42.0
1997,L81078,0103050E0BDABAG,Ventra_Cap G/R 40mg,5,56,560.0
1998,P92019,0103050L0BBAEAH,Zoton_FasTab Tab 30mg,3,28,126.0
1999,J81045,0103050P0BFABAA,Mepradec_Cap E/C 20mg,7,56,392.0
2000,P92020,0103050T0BBAAAA,Pariet_Tab E/C 10mg,1,56,37.33333
2001,K81638,0104020L0BBAJAA,Imodium_Soft Cap 2mg,1,30,7.5
2002,P92019,0105010B0AAABAB,Mesalazine_Suppos 500mg,1,56,17.5
2003,L81034,0105010B0BCAHBA,Pentasa_Gran Sach 4g M/R,1,60,150.0
2004,M81026,0105020A0BDAAAF,Cortiment_Tab 9mg M/R,2,30,60.0
2005,G81045,0105020D0AAACAC,Prednisolone_20mg/Applic Foam Enema(14D),1,1,14.0
2006,P92023,0105020E0AAAAAA,Prednisolone Sod Phos_Suppos 5mg,1,10,2.5
2007,G83018,0105040A0AAAAAA,Sod Cromoglicate_Cap 100mg,1,100,12.5
2008,P92029,0106010H0BBAAAC,Celevac_Tab 500mg,1,112,28.0
2009,P92642,0106020B0AAAAAA,Co-Danthramer_Susp 25mg/200mg/5ml S/F,1,300,30.0
2010,J82165,0106020C0AAAVAV,Bisacodyl_Oral Susp 2.5mg/5ml,1,600,30.0
2011,G84004,0106020I0BFAAAI,Docusol_Adult Soln 50mg/5ml S/F,1,300,15.0
2012,L81071,0106020M0BBAGAT,Senokot_Syr 7.5mg/5ml S/F,1,150,15.0
2013,E81033,0106040M0BCAAAE,Laxido_Oral Pdr Sach (Orange),1,60,30.0
2014,P92637,0106040M0BGAEAB,CosmoCol_Half Oral Pdr Sach 6.9g,1,90,45.0
2015,J82136,0202010B0AAAQAQ,Bendroflumethiazide_Liq Spec 5mg/5ml,1,50,20.0
2016,M85063,0202020D0AAAGAG,Bumetanide_Oral Susp 5mg/5ml,2,150,300.0
2017,A82010,0202020L0BZABBN,Frusol_Oral Soln 40mg/5ml S/F,1,150,30.0
2018,P92020,0202040B0AAABAB,Co-Amilofruse_Tab 2.5mg/20mg,1,56,56.0
2019,G83029,0202040C0AAAAAA,Co-Amilozide_Tab 5mg/50mg,1,60,60.0
2020,L81101,0202040D0AAAAAA,Amiloride HCl/Bumetanide_Tab 5mg/1mg,1,56,56.0
2021,F83665,0203020D0AACHCH,Amiodarone HCl_Oral Susp 100mg/5ml,1,130,13.0
2022,D82008,0203020F0AAABAB,Disopyramide_Cap 100mg,1,252,63.0
2023,J82166,0203020R0AAAAAA,Propafenone HCl_Tab 150mg,1,56,28.0
2024,G82126,0203020U0AAAGAG,Quinidine Sulf_Tab 200mg,1,90,18.0
2025,P92021,020400080AAAEAE,Carvedilol_Tab 3.125mg,2,56,28.0
2026,D81045,0204000C0BBADAD,Sectral 400_Tab 400mg,1,84,84.0
2027,L81025,0204000H0BFACAK,Cardicor_Tab 3.75mg,1,28,10.5
2028,H81130,0204000H0BKAAAM,Congescor_Tab 1.25mg (Tillomed),1,84,10.5
2029,P92652,0204000I0AAACAC,Labetalol HCl_Tab 100mg,1,56,9.33333
2030,B81069,0204000V0AAABAB,Timolol_Tab 10mg                 @gn,1,30,15.0
2031,P92017,0205020M0AAABAB,Moxonidine_Tab 400mcg,4,28,149.33332
2032,P92014,0205051F0AAAFAF,Captopril_Tab 50mg,1,112,112.0
2033,P88015,0205051K0BCAAAA,Carace 20 Plus_Tab,1,28,28.0
2034,P92021,0205051L0AAADAD,Lisinopril_Tab 20mg,40,56,4480.0
2035,M85061,0205051L0AAANAN,Lisinopril_Liq Spec 7.5mg/5ml,1,150,22.5
2036,P92642,0205051L0BBADAD,Zestril_Tab 20mg,1,56,112.0
2037,M92008,0205051M0AAAHAH,Perindopril Erbumine_Liq Spec 8mg/5ml,1,150,60.0
2038,B81606,0205051M0BBACAF,Coversyl_Tab 8mg,1,30,60.0
2039,D81013,0205051Q0BBAAAA,Accupro_Tab 5mg,1,224,74.66666
2040,D81046,0205051Q0BBABAB,Accupro_Tab 10mg,1,56,37.33333
2041,P92019,0205051R0AAALAL,Ramipril_Tab 2.5mg,57,28,798.0
2042,G82014,0205051S0AAAAAA,Felodipine/Ramipril_Tab 2.5mg/2.5mg M/R,1,56,56.0
2043,P92015,0205051Y0AAACAC,Perindopril Arginine_Tab 10mg,1,60,120.0
2044,P92002,0205051Y0BBABAB,Coversyl Arginine_Tab 5mg,1,60,60.0
2045,Y02893,0205052N0AAAEAE,Losartan Pot_Oral Soln 50mg/5ml,4,200,160.0
2046,C84013,0205052Q0BBAAAA,Micardis_Tab 40mg,1,28,28.0
2047,N85002,0205052V0AAAAAA,Valsartan_Cap 40mg,1,56,28.0
2048,P92017,0205052V0AAAIAI,Valsartan_Tab 80mg,1,56,56.0
2049,G82053,0206020C0AAASAS,Diltiazem HCl_Tab 120mg M/R,1,56,37.33333
2050,P92024,0206020C0BBAEAX,Tildiem LA 200_Cap 200mg,3,28,93.33333
2051,P92015,0206020C0BFADAU,Adizem-SR_Cap 120mg,1,112,74.66666
2052,M82017,0206020C0BVABAW,Zemret 240 XL_Cap 240mg,2,28,74.66666
2053,B85032,0206020F0BEAAAB,Felotens XL_Tab 5mg,1,56,56.0
2054,C81104,0206020F0BGACAD,Folpik XL_Tab 2.5mg M/R,1,28,14.0
2055,G81087,0206020K0BDAAAB,Molap_Tab 4mg,1,28,28.0
2056,G83025,0206020R0AAASAS,Nifedipine_Oral Dps 20mg/ml,1,100,66.66666
2057,P92016,0206020R0BGACBE,Coracten XL_Cap 30mg,1,28,28.0
2058,P92616,0206020R0BWAAAE,Tensipine MR 10_Tab 10mg,1,56,18.66666
2059,G83642,0206020T0AAACAC,Verapamil HCl_Tab 40mg,1,168,28.0
2060,P92652,0206020T0BHABAH,Verapress MR 240_Tab 240mg (Sandoz),2,28,56.0
2061,M85669,0206030N0AAAEAE,Nicorandil_Pdr Sach 10mg,1,60,15.0
2062,M84007,0209000A0BFAAAK,Nu-Seals 75_Tab E/C 75mg,3,28,42.0
2063,Y00159,0212000ACAAACAC,Simvastatin/Ezetimibe_Tab 80mg/10mg,1,84,84.0
2064,J81006,0212000ACBBACAC,Inegy_Tab 10mg/80mg,1,56,56.0
2065,P87634,0212000B0AAAAAA,Atorvastatin_Tab 10mg,13,28,182.0
2066,P92024,0212000B0AAADAD,Atorvastatin_Tab 80mg,19,28,2128.0
2067,P92006,0212000B0BBADAD,Lipitor_Tab 80mg,1,28,112.0
2068,P82008,0212000K0AAACAC,Colestipol HCl_Tab 1g,1,120,6.0
2069,P92016,0212000M0AAADAD,Fluvastatin Sod_Tab 80mg M/R,1,56,112.0
2070,D81055,0212000Q0BBAAAA,Lopid_Cap 300mg,2,100,50.0
2071,P92021,0212000Y0AAAHAH,Simvastatin_Tab 80mg,1,28,74.66666
2072,C84001,0212000Y0BBACAD,Zocor_Tab 40mg,1,28,37.33333
2073,M85071,0301011B0AAABAB,Bambuterol HCl_Tab 20mg,1,56,56.0
2074,E81027,0301012F0AAAAAA,Ephed HCl_Tab 15mg,1,28,8.4
2075,P92021,0301030C0BCABAC,Phyllocontin Fte Continus_Tab 350mg,1,56,43.55555
2076,P92033,0301030S0BHABAC,Slo-Phyllin_Cap 125mg,2,56,35.0
2077,D81085,0302000C0AABEBE,Beclomet Diprop_Inha 50mcg (200 D) CFF,1,1,25.0
2078,P81155,0302000C0AABVBV,Beclomet Diprop_Inha 200mcg (200 D) CFF,1,1,100.0
2079,P84055,0302000C0BHAAAG,Becodisks_Disk 100mcg & Diskhaler,1,15,30.0
2080,E85059,0302000C0BLAABM,Pulvinal Beclomet_Inha 200mcg (100 D),2,2,200.0
2081,P92021,0302000C0BPADBW,Clenil Modulite_Inha 250mcg (200D),3,1,375.0
2082,L81065,0302000K0BBAHAG,Pulmicort_Turbohaler 200mcg (100 D),1,1,50.0
2083,P81140,0302000K0BBAKAK,Pulmicort_Turbohaler 100mcg (200 D),1,1,50.0
2084,J81067,0302000K0BFABAC,Budelin Novolizer_Inh 200mcg 100D Ref,1,1,50.0
2085,P92605,0302000N0AAAUAU,Fluticasone Prop_Pdr For Inh 500mcg(60D),2,1,300.0
2086,J81046,0302000N0BBAVAV,Flixotide_Nebules 500mcg/2ml Ud,1,56,14.0
2087,K84038,0302000N0BBAYBB,Flixotide_Evohaler 125mcg (60 D),1,1,37.5
2088,M86605,0302000R0BBABAB,Asmanex Twisthaler_D/P Inh 200mcg (60 D),1,2,60.0
2089,E81038,0303010J0BBAFAD,Tilade_Inha 2mg (112 D) CFF,1,2,37.33333
2090,P92602,0303020G0BBABAB,Singulair_Tab 10mg,1,28,28.0
2091,P92016,0304010ABBBAAAA,Neoclarityn_Tab 5mg,1,30,30.0
2092,P92026,0304010ACAAABAB,Levocetirizine_Oral Soln 500mcg/ml S/F,2,200,40.0
2093,F81083,0304010F0AAADAD,Brompheniramine Mal_Cap 12mg M/R,1,56,56.0
2094,P92642,0304010G0AAAPAP,Chlorphenamine Mal_Oral Soln 2mg/5ml S/F,3,300,29.99998
2095,M82010,0304010I0BEAAAC,Benadryl_Relief Tab 10mg OAD,2,28,56.0
2096,Y02523,0304010I0BEAGAA,Benadryl_Allergy Tab 10mg OAD,1,7,7.0
2097,C84683,0304010I0BRAAAB,Ziralton_AllergyReliefSoln Child 5mg/5ml,1,70,7.0
2098,D81605,0304010J0AAAEAE,Hydroxyzine HCl_Oral Soln 10mg/5ml,1,200,16.0
2099,F82038,0304010J0BBAAAB,Atarax_Tab 10mg,1,84,33.6
2100,P92639,0401010R0AAAAAA,Nitrazepam_Oral Susp 2.5mg/5ml,1,600,60.0
2101,C84692,0401010Z0AAAJAJ,Zopiclone_Oral Soln 3.75mg/5ml,1,150,15.0
2102,C88086,0401020E0AAAAAA,Chlordiazepox HCl_Tab 5mg,3,14,7.0
2103,M88002,0401020E0AAABAB,Chlordiazepox HCl_Tab 10mg,1,56,18.66666
2104,P92021,040201030AAABAB,Risperidone_Tab 2mg,1,84,33.6
2105,P92008,040201030AAAMAM,Risperidone_Orodisper Tab 2mg S/F,1,56,22.4
2106,G83065,040201030BBADAD,Risperdal_Tab 4mg,1,28,22.4
2107,E84002,040201060BBAJAP,Zyprexa_Velotab 20mg,1,28,56.0
2108,D83009,040201060BCADAC,Zalasta_Tab 10mg,1,28,28.0
2109,J82120,0402010A0BBACAE,Solian 400_Tab 400mg,1,28,28.0
2110,P92021,0402010ABAABABA,Quetiapine_Tab 150mg M/R,1,28,14.0
2111,K84025,0402010C0AAAAAA,Clozapine_Tab 25mg,1,28,2.33333
2112,P92019,0402010J0AAAJAJ,Haloperidol_Tab 1.5mg,1,56,10.5
2113,P92023,0402010J0AAAKAK,Haloperidol_Tab 5mg,1,28,17.5
2114,P92630,0402010S0AAAFAF,Promazine HCl_Tab 50mg,4,28,56.0
2115,P92008,0402010X0AAAHAH,Trifluoperazine_Tab 1mg,1,300,15.0
2116,P92010,0402020AABBACAC,Risperdal Consta_Inj Pdr 37.5mg Vl + Dil,1,1,12.5
2117,P92019,0402020Z0AAAAAA,Zuclopenth Decan_Inj 200mg/ml 1ml Amp,2,1,26.66666
2118,B86666,0403010B0AAA8A8,Amitriptyline/Perphenazine_Tab 25mg/2mg,1,14,4.66666
2119,A82007,0403010X0AAANAN,Trazodone HCl_Oral Soln 100mg/5ml S/F,1,360,47.99999
2120,G84629,0403020K0BBAAAA,Manerix_Tab 150mg,1,120,60.0
2121,M81062,0403020M0BBAAAA,Nardil_Tab 15mg,1,84,21.0
2122,J81036,0403020Q0AAAAAA,Tranylcypromine Sulf_Tab 10mg,1,28,28.0
2123,P92012,0403030E0AAALAL,Fluoxetine HCl_Cap 10mg,2,30,30.0
2124,P92041,0403030E0AAAPAP,Fluoxetine HCl_Tab 10mg,1,28,14.0
2125,C84001,0403030E0BBAAAA,Prozac_Cap 20mg,1,90,90.0
2126,L81081,0403030L0BBAAAA,Faverin_Tab 50mg,1,180,90.0
2127,C84001,0403030P0BBABAB,Seroxat_Tab 30mg,1,30,45.0
2128,P92020,0403030Q0AAABAB,Sertraline HCl_Tab 100mg,9,14,252.0
2129,J81049,0403030Q0AAARAR,Sertraline HCl_Oral Susp 100mg/5ml,1,150,60.0
2130,Y02648,0403030X0BBACAC,Cipralex_Tab 5mg,1,28,14.0
2131,F86064,0403030X0BBADAD,Cipralex_Oral Dps 10mg/ml,1,28,28.0
2132,D82066,0403040W0AAAAAA,Venlafaxine_Tab 37.5mg,2,7,5.25
2133,L81031,0403040W0AAANAN,Venlafaxine_Oral Soln 37.5mg/5ml,1,200,15.0
2134,K84006,0403040W0BCAAAD,Rodomel XL_Cap 75mg,2,28,42.0
2135,F81144,0403040W0BSAAAD,Tonpular XL_Cap 75mg,1,28,21.0
2136,P92021,0403040Y0BBAAAA,Cymbalta_Cap G/R 30mg,1,28,14.0
2137,L82045,0406000A0BCACAD,Scopoderm_Patch 1mg/72hrs,1,12,36.0
2138,P92035,0406000B0BBABAB,Serc-16_Tab 16mg,1,84,42.0
2139,M82022,0406000M0AAADAD,Granisetron HCl_Tab 2mg,1,28,28.0
2140,P89015,0406000S0BBABAB,Zofran_Tab 4mg,1,10,2.5
2141,P92642,0407010F0AAAKAK,Co-Codamol_Tab 15mg/500mg,1,112,18.66666
2142,P92030,0407010H0AAA7A7,Paracet_Oral Soln Paed 120mg/5ml S/F,1,500,4.0
2143,J81048,0407010H0AABQBQ,Paracet_Suppos 120mg,1,10,0.4
2144,F81120,0407010H0AADPDP,Paracet_Oral Soln 500mg/5ml S/F,1,200,6.66666
2145,L84073,0407010H0BEAEAW,Calpol_Infant Susp 120mg/5ml S/F,1,100,0.8
2146,P92021,0407010H0CGABAM,Mandanol_Capl 500mg,1,100,16.66666
2147,J81056,0407010M0AAABAB,Co-Codaprin Disper_Tab 8mg/400mg,1,40,6.66666
2148,P92016,0407010N0BGABAI,Remedeine Fte_Tab,5,224,280.0
2149,Y02753,0407010P0AAABAB,Nefopam HCl_Tab 30mg,1,28,7.0
2150,K84054,040702040AAACAC,Tramadol HCl_Tab 100mg M/R,3,60,90.0
2151,L81077,040702040BBAAAA,Zydol_Cap 50mg,1,252,63.0
2152,D81060,040702040BBAIAM,Zydol XL_Tab 300mg,1,30,45.0
2153,G82071,040702040BDAKAN,Zamadol 24hr_Tab 400mg,1,60,120.0
2154,M85155,040702040BSABAD,Tilodol SR_Tab 150mg,1,60,45.0
2155,C82026,040702050AAAAAA,Hydromorphone HCl_Cap 16mg M/R,1,112,149.33333
2156,K84047,040702050BBABAD,Palladone_Cap 2.6mg,1,112,24.26666
2157,K84047,040702050BBADAG,Palladone-SR_Cap 4mg,1,196,65.33333
2158,P92021,0407020A0BBAJAF,Durogesic DTrans_T/Derm Patch 50mcg,2,10,66.66666
2159,P92024,0407020ADAAASAS,Oxycodone HCl_Tab 15mg M/R,1,56,14.0
2160,L83018,0407020ADBCAAAF,OxyContin_Tab 10mg M/R,5,28,23.33333
2161,P92014,0407020ADBCABAG,OxyContin_Tab 20mg M/R,1,56,18.66666
2162,P92023,0407020ADBEABAF,Longtec_Tab 10mg M/R,1,56,9.33333
2163,P92021,0407020ADBEADAH,Longtec_Tab 40mg M/R,1,56,37.33333
2164,P81061,0407020ADBJAHAB,Shortec_Oral Soln Conc 10mg/1ml,3,480,239.99999
2165,D82067,0407020ADBMABAF,Abtard_Tab 10mg M/R,2,56,18.66666
2166,P88632,0407020ADBQACAH,Onexila XL_Tab 40mg,1,28,18.66666
2167,P92021,0407020B0BDAAAE,Transtec_T/Derm Patch 35mcg/hr (20mg),1,8,24.0
2168,P92024,0407020B0BDACAG,Transtec_T/Derm Patch 70mcg/hr (40mg),2,8,48.0
2169,P85010,0407020B0BFAAAB,Tephine_Tab Subling 200mcg,3,14,13.99999
2170,E81014,0407020B0BIACAG,Bupeaze_Transdermal Patch 70mcg/hr(96hr),1,8,24.0
2171,G82076,0407020B0BNABAF,Buplast_Transdermal Patch 52.5mcg/hr,1,4,12.0
2172,C84008,0407020B0BSABAF,Turgeon_Transdermal Patch 52.5mcg/hr,1,12,36.0
2173,P92021,0407020C0AAAEAE,Codeine Phos_Tab 30mg,13,100,433.3333
2174,J81047,0407020Q0AAAHAH,Morph Sulf_Tab 100mg M/R,1,60,60.0
2175,P81643,0407020Q0AADWDW,Morph Sulf_Cap 150mg M/R,1,56,84.0
2176,P92015,0407020Q0BCAGCN,Oramorph_Oral Soln 10mg/5ml,8,300,48.0
2177,P92016,0407020Q0BHACCD,Sevredol_Tab 10mg,2,56,11.2
2178,P92016,0407020Q0BKAEEI,Zomorph_Cap 200mg,1,56,112.0
2179,P92014,0407020Q0BNABAL,Morphgesic SR_Tab 30mg,1,14,4.2
2180,C84035,0407041T0AAAFAF,Sumatriptan_Tab 50mg,16,12,96.0
2181,P92024,0407041T0AAAHAH,Sumatriptan_Aq Nsl Spy 10mg/0.1ml Ud,1,6,3.0
2182,P92026,0407041T0BBAGAG,Imigran_Nsl Spy 20mg/0.1ml Ud,1,2,2.0
2183,A82047,0407042F0AAAYAY,Clonidine HCl_Oral Susp 3.75mcg/5ml,3,450,10.125
2184,P92028,040801020BBABAB,Convulex_Cap E/C 300mg,1,100,25.0
2185,L83057,040801060AAA4A4,Clobazam_Liq Spec 10mg/5ml,1,50,5.0
2186,L81031,0408010ABAAACAC,Tiagabine_Tab 15mg,1,100,50.0
2187,F81205,0408010ABAAAEAE,Tiagabine_Liq Spec 2.5mg/5ml,1,840,14.0
2188,P92652,0408010AEBCAAAD,Rewisca_Cap 100mg,1,56,18.66666
2189,Y02657,0408010AEBEACAC,Alzain_Cap 75mg,1,84,21.0
2190,E81061,0408010AEBEAFAF,Alzain_Cap 200mg,1,84,55.99999
2191,F83665,0408010C0AAAVAV,Carbamazepine_Suppos 250mg,1,90,28.125
2192,F82001,0408010C0AAAYAY,Carbamazepine_Liq Spec 500mg/5ml,1,336,42.0
